name,x,y,Cr (ppm),Mn (ppm),Fe (ppm),Ni (ppm),Cu (ppm),Zn (ppm),As (ppm),Pb (ppm)
FhCb13 215.3 soil,-60.32607123,53.2923442,< LOD,917,22091,26,< LOD,39,3,15
FhCb13 215.4 soil,-60.32605983,53.29246184,< LOD,691,22085,25,8,32,< LOD,20
FhCb13 215.5 soil,-60.32597702,53.29247387,< LOD,663,22819,18,9,31,< LOD,19
FhCb13 215.6 soil,-60.32615572,53.29248008,< LOD,935,21477,22,8,37,4,26
FhCb13 215.7 soil,-60.32618489,53.29252457,< LOD,1925,23022,24,9,43,< LOD,36
FhCb13 215.8 soil,-60.32620233,53.29242637,< LOD,643,17891,27,7,37,5,18
FhCb13 215.9 soil,-60.32628547,53.29242697,42,679,20290,29,18,50,< LOD,21
CON2 222.1 soil,-60.41587897,53.39641034,< LOD,2922,16544,33,20,94,2,11
CON2 222.2 soil,-60.41580755,53.39642593,58,1085,29598,41,20,52,4,13
CON2 222.4 soil,-60.41586924,53.39636176,57,759,28548,43,23,56,4,6
CON2 222.5 soil,-60.41594502,53.39638155,< LOD,3411,14646,37,12,95,< LOD,12
CON2 222.6 soil,-60.41602481,53.39634856,< LOD,3322,9745,26,19,86,5,14
CON2 222.7 soil,-60.41589942,53.39645172,52,1077,20971,17,15,36,4,20
CON2 222.8 soil,-60.41589942,53.39647451,< LOD,564,4101,31,21,83,2,9
CON2 223.1 soil,-60.41564159,53.39663484,33,2113,25211,29,17,54,6,14
CON2 223.2 soil,-60.41571368,53.39660525,47,731,18207,40,19,57,< LOD,16
CON2 223.3 soil,-60.41574016,53.39664624,< LOD,1946,10272,24,18,76,< LOD,10
CON2 223.4 soil,-60.41561946,53.39661445,29,2413,27121,42,19,57,4,12
CON2 223.5 soil,-60.41567277,53.39652069,60,1118,29166,42,16,55,< LOD,10
CON2 223.6 soil,-60.41575693,53.39655008,36,776,23427,27,10,31,< LOD,16
CON2 223.7 soil,-60.41582599,53.39653608,42,2617,17782,27,13,71,2,15
CON2 224.1 soil,-60.41575827,53.39652289,33,2191,30454,38,15,60,4,16
CON2 224.2 soil,-60.41578107,53.39653948,< LOD,1917,9864,28,24,76,< LOD,11
CON2 224.3 soil,-60.41580655,53.39657867,42,1629,17778,24,12,41,5,22
CON2 224.4 soil,-60.41568249,53.39652169,52,816,31138,35,8,44,< LOD,12
CON2 224.5 soil,-60.41573044,53.3964909,35,778,29228,37,18,50,5,11
CON2 224.6 soil,-60.41583035,53.3964883,< LOD,4921,19738,31,10,72,6,11
CON2 224.7 soil,-60.41587092,53.39648391,< LOD,2808,5386,26,< LOD,67,3,10
CON 145.1 soil,-60.57351138,53.2687195,< LOD,954,27784,37,12,45,2,12
CON 145.2 soil,-60.57351273,53.26868461,< LOD,780,26530,32,19,47,4,10
CON 145.3 soil,-60.57359185,53.2687205,40,472,21131,38,19,43,5,11
CON 145.4 soil,-60.57365958,53.26871308,< LOD,616,18588,19,14,38,3,9
CON 145.5 soil,-60.57352345,53.26877785,18,316,9789,25,< LOD,69,2,6
CON 145.6 soil,-60.57353586,53.26881394,< LOD,289,4699,19,16,29,3,19
CON 145.7 soil,-60.57344366,53.26874236,< LOD,867,30034,41,17,49,5,10
CON 145.8 soil,-60.5733823,53.26876081,63,857,32649,38,22,49,< LOD,17
CON 146.1 soil,-60.57425536,53.26847026,< LOD,911,23491,40,25,55,3,13
CON 146.2 soil,-60.57419267,53.26848931,< LOD,854,29875,32,31,55,7,6
CON 146.3 soil,-60.5741236,53.26850555,< LOD,861,31524,41,18,50,< LOD,13
CON 146.4 soil,-60.57425871,53.26843958,< LOD,765,27129,33,22,42,3,13
CON 146.5 soil,-60.57425737,53.26839707,< LOD,851,29332,35,26,48,< LOD,13
